Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
218,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,24,1995,1.7,110,127,86.6,2255,943,38,39,97.4,59,66,89.4,13,20,65.0,0,0.0,0.0,0,14,1,0,9,Matches
219,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,22,1997,4.2,68,100,68.0,1087,352,36,43,83.7,25,31,80.6,5,16,31.3,1,1.0,0.0,6,5,4,1,4,Matches
220,Marco John\Marco-John,de GER,DF,Hoffenheim,18,2002,11.1,425,534,79.6,6793,2701,220,251,87.6,175,206,85.0,23,44,52.3,0,1.6,-1.6,10,23,19,9,46,Matches
221,Luka Jović\Luka-Jovic,rs SRB,FWMF,Eint Frankfurt,22,1997,9.9,228,292,78.1,3853,899,123,152,80.9,66,91,72.5,29,34,85.3,1,0.6,+0.4,5,24,10,1,34,Matches
222,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,20,2000,13.8,605,680,89.0,13088,3961,173,188,92.0,321,336,95.5,106,150,70.7,0,0.2,-0.2,3,44,3,0,42,Matches
223,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DF,Hoffenheim,28,1992,17.6,706,958,73.7,12568,4948,293,354,82.8,337,422,79.9,65,137,47.4,4,3.3,+0.7,23,55,31,15,89,Matches
224,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,27,1992,5.0,126,183,68.9,2251,899,61,68,89.7,41,65,63.1,19,41,46.3,0,1.0,-1.0,10,15,8,2,21,Matches
225,Sasa Kalajdzic\Sasa-Kalajdzic,at AUT,FW,Stuttgart,23,1997,23.7,470,668,70.4,6726,1065,285,368,77.4,137,195,70.3,29,49,59.2,5,3.5,+1.5,23,26,13,1,37,Matches
226,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,23,1996,26.2,751,1003,74.9,13155,3946,367,440,83.4,263,326,80.7,97,170,57.1,12,7.5,+4.5,52,76,28,5,89,Matches
227,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,28,1992,2.4,188,213,88.3,3963,1522,49,53,92.5,110,116,94.8,28,38,73.7,0,0.2,-0.2,2,27,3,2,33,Matches
228,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,29,1990,21.5,1284,1429,89.9,22654,4772,553,586,94.4,564,606,93.1,135,182,74.2,1,1.9,-0.9,16,116,17,1,102,Matches
229,Jimmy Kaparos\Jimmy-Kaparos,de GER,MF,Schalke 04,18,2001,0.2,2,2,100.0,33,19,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
230,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,23,1996,11.5,616,706,87.3,11207,3469,240,266,90.2,300,325,92.3,60,90,66.7,0,0.1,-0.1,2,24,1,0,29,Matches
