Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
264,Maxence Lacroix\Maxence-Lacroix,fr FRA,DF,Wolfsburg,20,2000,28.8,63,34,48,15,0,20,47,42.6,27,335,121,36.1,195,135,5,63,24,1,39,76,139,174,0,Matches
265,Konrad Laimer\Konrad-Laimer,at AUT,DFFW,RB Leipzig,23,1997,0.9,2,2,0,1,1,0,3,0.0,3,31,6,19.4,5,21,5,2,0,0,2,1,3,2,0,Matches
266,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'Gladbach,27,1992,30.8,60,39,27,22,11,27,70,38.6,43,440,136,30.9,155,192,93,77,9,0,68,40,100,88,2,Matches
267,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,35,1985,2.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,30,1989,20.0,47,31,18,19,10,21,73,28.8,52,476,145,30.5,150,240,86,51,7,0,44,27,74,28,0,Matches
269,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,M'Gladbach,24,1996,13.8,18,9,10,5,3,8,20,40.0,12,224,56,25.0,68,96,60,27,1,0,26,18,36,16,0,Matches
270,Mathew Leckie\Mathew-Leckie,au AUS,FWDF,Hertha BSC,29,1991,5.6,13,9,6,5,2,4,15,26.7,11,145,37,25.5,33,72,40,16,0,0,16,11,24,12,1,Matches
271,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,25,1994,25.0,77,40,44,29,4,29,69,42.0,40,411,130,31.6,183,162,66,50,8,1,42,33,110,53,0,Matches
272,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,31,1988,27.3,18,13,2,8,8,4,14,28.6,10,324,105,32.4,12,89,223,9,2,0,7,7,25,8,0,Matches
273,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,24,1996,33.3,28,15,18,9,1,4,21,19.0,17,209,64,30.6,117,84,8,54,23,0,31,44,72,137,1,Matches
274,Dimitris Limnios\Dimitris-Limnios,gr GRE,MFFW,Köln,22,1998,4.2,8,5,5,2,1,3,6,50.0,3,73,22,30.1,22,34,17,6,0,0,6,1,9,1,0,Matches
275,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27,1993,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
276,Eduard Löwen\Eduard-Lowen,de GER,MFDF,Hertha BSC,23,1997,0.9,5,4,2,1,2,2,5,40.0,3,27,4,14.8,12,8,7,0,0,0,0,1,6,2,0,Matches
277,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21,1999,0.4,1,1,0,1,0,0,1,0.0,1,7,3,42.9,2,2,3,2,0,0,2,0,1,1,0,Matches
278,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23,1997,17.8,50,24,33,16,1,21,45,46.7,24,263,68,25.9,138,95,30,65,6,0,59,16,66,58,1,Matches
279,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20,2000,5.8,14,5,9,3,2,6,31,19.4,25,141,43,30.5,72,57,12,12,1,0,11,4,18,11,0,Matches
280,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,22,1997,20.6,26,14,17,6,3,4,15,26.7,11,290,67,23.1,70,133,87,19,1,0,18,10,36,10,0,Matches
281,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33,1987,30.8,0,0,0,0,0,0,2,0.0,2,5,2,40.0,5,0,0,0,0,0,0,0,0,1,2,Matches
282,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
283,Luca Mack\Luca-Mack,de GER,MF,Stuttgart,20,2000,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,1,1,0,0,0,0,0,0,0,2,0,Matches
284,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,21,1999,0.3,1,0,0,1,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,1,0,0,Matches
286,Arne Maier\Arne-Maier,de GER,MF,Arminia,21,1999,11.5,19,14,5,12,2,7,16,43.8,9,184,56,30.4,51,97,36,20,3,0,17,9,28,16,0,Matches
287,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,28,1992,0.6,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0,Matches
288,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22,1998,23.4,30,18,12,14,4,12,25,48.0,13,232,72,31.0,58,131,43,55,14,0,41,27,57,28,0,Matches
289,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,23,1997,2.9,2,2,2,0,0,1,4,25.0,3,26,9,34.6,6,17,3,2,0,0,2,3,5,1,0,Matches
