Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
436,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,34,1986,8.2,1,0,0,15,14,11,7,3,5,0,0,0,26,13,36,26.5,Matches
437,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,25,1995,29.5,8,0,0,42,29,3,92,29,44,0,0,1,267,34,36,48.6,Matches
438,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,28,1992,29.1,7,0,0,31,10,0,37,43,25,0,0,0,244,34,26,56.7,Matches
439,Shola Shoretire\Shola-Shoretire,eng ENG,FW,Manchester Utd,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
440,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,30,1989,25.0,2,0,0,22,18,0,31,31,21,0,0,0,176,8,12,40.0,Matches
441,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,25,1994,22.9,5,0,0,17,18,3,27,21,21,0,0,0,137,10,29,25.6,Matches
442,Fábio Silva\Fabio-Silva,pt POR,FW,Wolves,18,2002,15.2,2,0,0,20,21,5,6,5,6,1,0,0,66,32,76,29.6,Matches
443,Thiago Silva\Thiago-Silva,br BRA,DF,Chelsea,35,1984,21.5,5,1,1,14,16,0,1,28,13,0,0,0,227,55,20,73.3,Matches
444,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,30,1989,17.6,3,0,0,21,9,0,10,16,20,0,0,0,182,17,24,41.5,Matches
445,Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,32,1988,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,75.0,Matches
446,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,20,2000,1.9,0,0,0,3,2,0,2,1,4,0,0,0,12,3,4,42.9,Matches
447,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MFFW,Arsenal,20,2000,16.0,0,0,0,5,20,4,19,14,8,0,0,0,106,8,9,47.1,Matches
448,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWDF,West Ham,32,1987,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
449,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Brom,32,1987,5.8,2,0,0,8,13,1,5,4,12,0,0,0,55,10,13,43.5,Matches
450,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,28,1991,8.3,1,0,0,6,5,0,29,8,10,0,0,0,69,10,14,41.7,Matches
451,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,25,1995,38.0,7,1,0,69,43,3,10,55,50,0,1,1,463,228,134,63.0,Matches
452,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,24,1996,20.2,2,0,0,18,15,0,8,27,16,0,0,0,186,62,37,62.6,Matches
453,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25,1995,1.0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
454,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,31,1989,2.9,1,0,0,8,2,0,0,3,4,0,0,0,49,5,4,55.6,Matches
455,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,26,1994,17.1,2,0,0,8,9,0,0,25,19,0,0,0,175,26,18,59.1,Matches
456,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,25,1994,28.2,4,0,0,36,41,9,34,14,18,2,0,0,123,5,26,16.1,Matches
457,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,30,1990,30.0,6,0,0,33,10,3,55,47,23,0,0,0,268,38,39,49.4,Matches
458,John Stones\John-Stones,eng ENG,DF,Manchester City,26,1994,21.5,0,1,0,7,10,1,1,20,12,0,0,0,177,46,15,75.4,Matches
459,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,20,1999,23.1,3,0,0,26,7,0,1,41,29,0,1,0,228,51,45,53.1,Matches
