Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
341,Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,13,749,8.3,0,0,23,21,34,18,85.7,1,1,0,0
342,Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,1,12,0.1,0,0,0,1,0,0,100,0,0,0,0
343,Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,26,2176,24.2,0.8,1.5,108,66,170,77,88.1,15,1,0,0
344,Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,33,2091,23.2,1.4,2.4,49,35,79,19,85.3,16,7,0,0
345,Reiss Nelson\Reiss-Nelson,FW,Arsenal,2,71,0.8,0,0,0,1,1,1,56.7,0,0,0,0
346,Pedro Neto\Pedro-Neto,FWMF,Wolves,31,2550,28.3,4.8,6.2,21,25,50,11,78.8,60,21,0,0
347,RÃºben Neves\Ruben-Neves,MF,Wolves,36,2675,29.7,5.1,2.1,90,71,136,54,84.3,32,14,0,0
348,Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,17,423,4.7,2.4,0.8,4,7,5,4,82,5,5,0,0
349,Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,2,81,0.9,0,0,4,5,4,4,79.4,0,0,0,0
350,Dan Nlundulu\Dan-Nlundulu,FW,Southampton,13,111,1.2,0.1,0,0,5,0,2,66.7,1,0,0,0
351,Mark Noble\Mark-Noble,MF,West Ham,21,712,7.9,0,0.2,7,9,18,7,87.2,5,0,0,0
352,Will Norris\Will-Norris,GK,Burnley,2,180,2,0,0.1,0,0,0,0,48.2,1,0,33.3,0
353,Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,32,2220,24.7,0.5,1.8,56,37,95,61,79.6,31,1,0,0
354,Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,2,180,2,0,0,3,6,3,11,77.9,0,0,0,0
355,Dara O'Shea\Dara-OShea,DF,West Brom,28,2102,23.4,0.2,0.1,51,53,90,143,66,6,0,0,0
356,Michael Obafemi\Michael-Obafemi,FW,Southampton,4,61,0.7,0,0.1,1,1,2,0,86.7,1,0,0,0
357,Denis Odoi\Denis-Odoi,DF,Fulham,3,270,3,0.1,0.1,3,6,4,11,82.7,1,1,0,0
358,Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,28,2492,27.7,1.5,1,27,41,54,167,84.4,3,4,0,0
359,Robin Olsen\Robin-Olsen,GK,Everton,7,630,7,0,0,0,0,0,2,71.4,0,0,70.4,0
360,Josh Onomah\Josh-Onomah,MF,Fulham,11,374,4.2,0.6,0.1,10,4,13,4,89.8,2,1,0,0
361,Divock Origi\Divock-Origi,FW,Liverpool,9,186,2.1,1,0.2,5,4,6,2,76.7,2,2,0,0
362,Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,24,1604,17.8,1.2,2.1,29,29,45,16,78.9,19,4,0,0
363,Owen Otasowie\Owen-Otasowie,MFFW,Wolves,6,187,2.1,0.6,0.1,7,3,10,2,70.3,2,0,0,0
364,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,FWMF,Liverpool,13,253,2.8,0.4,0.2,2,3,3,1,75.4,2,3,0,0
365,Emerson Palmieri\Emerson-Palmieri,DF,Chelsea,2,90,1,0,0,3,2,4,10,81,0,0,0,0
366,Thomas Partey\Thomas-Partey,MF,Arsenal,24,1534,17,1.3,1,47,29,73,25,86.9,12,4,0,0
367,Rui PatrÃ­cio\Rui-Patricio,GK,Wolves,37,3329,37,0,0,0,0,0,1,66.7,0,0,68.6,0
368,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,GK,Burnley,4,360,4,0,0,0,0,0,0,51.3,0,0,44,0
369,Lee Peltier\Lee-Peltier,DF,West Brom,4,229,2.5,0,0,10,2,12,12,63.2,1,0,0,0
370,Nicolas PÃ©pÃ©\Nicolas-Pepe,FW,Arsenal,29,1616,18,7,0.9,20,25,38,13,75.7,11,20,0,0
371,Matheus Pereira\Matheus-Pereira,MFFW,West Brom,33,2577,28.6,7.2,5.4,33,30,62,18,71.8,57,24,0,0
372,Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,15,959,10.7,0.4,0.5,37,28,53,26,78.3,9,4,0,0
373,Ayoze PÃ©rez\Ayoze-Perez,MFFW,Leicester City,25,1331,14.8,3.2,1.3,32,31,51,6,76.6,23,13,0,0
374,Kalvin Phillips\Kalvin-Phillips,MF,Leeds United,29,2428,27,0.4,3.8,74,61,123,59,82.8,34,5,0,0
375,Matt Phillips\Matt-Phillips,MF,West Brom,33,1828,20.3,2.5,3.1,21,48,40,23,69.3,27,9,0,0
376,Nathaniel Phillips\Nathaniel-Phillips,DF,Liverpool,17,1456,16.2,1.1,0.4,18,23,47,143,87.2,6,1,0,0
377,Jaden Philogene Bidace\Jaden-Philogene-Bidace,FW,Aston Villa,1,1,0,0,0,0,0,1,1,50,0,0,0,0
378,Jordan Pickford\Jordan-Pickford,GK,Everton,31,2742,30.5,0,0,0,2,0,3,66.1,1,0,71.1,0
379,Erik Pieters\Erik-Pieters,DFMF,Burnley,20,1266,14.1,0.2,0.5,40,44,50,42,74.8,6,3,0,0
380,Daniel Podence\Daniel-Podence,MFFW,Wolves,24,1661,18.5,3.1,1.9,18,7,33,6,75.2,23,14,0,0
381,Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,26,1897,21.1,2.1,2.1,37,22,62,47,82.8,24,11,0,0
382,Nick Pope\Nick-Pope,GK,Burnley,32,2880,32,0,0.4,0,0,1,3,50.7,3,0,77,0
383,Dennis Praet\Dennis-Praet,MFFW,Leicester City,15,718,8,0.5,0.8,12,14,21,3,79.2,7,2,0,0
384,Davy PrÃ¶pper\Davy-Propper,MF,Brighton,7,213,2.4,0.1,0,7,2,9,0,76,0,2,0,0
385,Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,27,1738,19.3,5.4,2.8,25,31,34,9,80,26,16,0,0
386,Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,38,3420,38,0,0.2,0,0,0,1,49.1,2,0,70.7,0
387,Jacob Ramsey\Jacob-Ramsey,MF,Aston Villa,22,626,7,0.5,0.3,11,17,17,9,85.5,6,1,0,0
388,Kayne Ramsey\Kayne-Ramsey,DF,Southampton,1,90,1,0,0,5,1,6,4,69.2,0,0,0,0
389,Darren Randolph\Darren-Randolph,GK,West Ham,3,270,3,0,0,0,0,0,0,54.5,0,0,66.7,0
390,Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,37,2920,32.4,9.3,3.6,16,24,26,9,80.6,41,36,0,0
391,Tim Ream\Tim-Ream,DF,Fulham,7,630,7,0,0,10,14,14,31,91.2,0,0,0,0
392,Nathan Redmond\Nathan-Redmond,MFFW,Southampton,29,1738,19.3,3.3,3.3,32,29,50,11,75.9,29,14,0,0
393,Harrison Reed\Harrison-Reed,MF,Fulham,31,2247,25,0.3,1.4,68,47,120,58,86.4,22,4,0,0
394,Sergio ReguilÃ³n\Sergio-Reguilon,DF,Tottenham,27,2244,24.9,1.6,1.7,51,53,86,64,77.2,17,4,0,0
395,Bobby Reid\Bobby-Reid,MFDF,Fulham,33,2372,26.4,4.8,1.4,32,37,49,41,74.1,15,8,0,0
396,Declan Rice\Declan-Rice,MF,West Ham,32,2879,32,3.1,2.1,77,54,145,46,86.2,19,7,0,0
397,Lewis Richardson\Lewis-Richardson,FWMF,Burnley,2,4,0,0,0,0,0,0,0,0,0,0,0,0
398,Richarlison\Richarlison,FW,Everton,34,2861,31.8,11.5,3.2,49,33,69,38,69.2,25,32,0,0
399,JaÃ¯ro Riedewald\Jairo-Riedewald,MF,Crystal Palace,33,1820,20.2,0.7,1,33,46,57,29,84.9,11,2,0,0
400,Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,18,1350,15,0.4,1.5,17,31,40,43,67.7,24,1,0,0
401,Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,27,1340,14.9,2.1,1.8,18,20,27,14,72.2,15,12,0,0
402,Andrew Robertson\Andrew-Robertson,DF,Liverpool,38,3383,37.6,1.4,6.9,53,62,87,91,79.9,66,5,0,0
403,Antonee Robinson\Antonee-Robinson,DF,Fulham,28,2162,24,0.6,1.6,48,52,92,83,72.6,28,4,0,0
404,Callum Robinson\Callum-Robinson,FWMF,West Brom,28,1560,17.3,3.1,0.8,14,16,28,9,70.9,14,11,0,0
405,Jack Robinson\Jack-Robinson,DF,Sheffield Utd,11,877,9.7,0.4,0.9,16,12,33,60,80.6,1,0,0,0
406,Hal Robson-Kanu\Hal-Robson-Kanu,FW,West Brom,19,561,6.2,1.5,0.4,3,5,7,4,74.4,6,6,0,0
407,Marek RodÃ¡k\Marek-Rodak,GK,Fulham,2,180,2,0,0,0,0,0,0,80.4,0,0,50,0
408,Joe Rodon\Joe-Rodon,DF,Tottenham,12,733,8.1,0,0,15,15,28,51,88.8,0,0,0,0
409,Rodri\Rodri,MF,Manchester City,34,2748,30.5,2.5,1.7,83,42,123,73,91.5,27,7,0,0
410,Rodrigo\Rodrigo,MFFW,Leeds United,26,1288,14.3,6.3,2.4,21,9,30,16,75.4,28,17,0,0
411,James RodrÃ­guez\James-Rodriguez,FWMF,Everton,23,1764,19.6,3.4,5.4,20,24,36,1,79.1,43,19,0,0
412,Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,31,1265,14.1,2.3,1.7,28,27,32,6,73.5,8,9,0,0
413,Oriol Romeu\Oriol-Romeu,MF,Southampton,21,1763,19.6,0.4,1.1,68,32,95,19,82.8,14,4,0,0
414,John Ruddy\John-Ruddy,GK,Wolves,2,91,1,0,0,0,0,0,0,79.2,0,0,75,0
415,Antonio RÃ¼diger\Antonio-Rudiger,DF,Chelsea,19,1710,19,1.1,0.3,30,21,45,89,90.8,3,6,0,0
416,Mathew Ryan\Mathew-Ryan,GK,Brighton,11,990,11,0,0,0,0,0,1,78.7,0,0,50,0
417,Mathew Ryan\Mathew-Ryan,GK,Arsenal,3,270,3,0,0,0,0,0,0,92.5,0,0,88.9,0
418,Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,25,1560,17.3,2.6,3.3,15,13,24,0,79.8,28,12,0,0
419,Romain SaÃ¯ss\Romain-Saiss,DF,Wolves,27,2407,26.7,3.5,0.3,37,43,75,165,82,6,12,0,0
420,Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,32,2553,28.4,6.9,4.7,34,40,61,32,74.9,38,21,0,0
421,Mamadou Sakho\Mamadou-Sakho,DF,Crystal Palace,4,276,3.1,0,0,4,3,4,14,87.8,0,0,0,0
422,Mohamed Salah\Mohamed-Salah,FW,Liverpool,37,3078,34.2,20.9,6.3,26,14,35,11,83.2,54,46,0,0
423,Mohammed Salisu\Mohammed-Salisu,DF,Southampton,12,844,9.4,0.4,0,32,25,58,38,82.4,1,1,0,0
424,Davinson SÃ¡nchez\Davinson-Sanchez,DF,Tottenham,18,1486,16.5,1.1,0,40,19,54,123,86.9,0,0,0,0
425,Robert SÃ¡nchez\Robert-Sanchez,GK,Brighton,27,2430,27,0,0,0,0,0,0,71.6,0,0,71.3,0
426,Morgan Sanson\Morgan-Sanson,MF,Aston Villa,9,294,3.3,0,0.1,6,4,13,4,75.8,1,0,0,0
427,Romaine Sawyers\Romaine-Sawyers,MF,West Brom,19,1487,16.5,0.1,0.4,31,18,53,15,85,5,0,0,0
428,Dane Scarlett\Dane-Scarlett,FW,Tottenham,1,1,0,0,0,0,0,0,0,,0,0,0,0
429,Fabian SchÃ¤r\Fabian-Schar,DF,Newcastle Utd,18,1246,13.8,1.2,0,19,24,41,63,77.7,1,4,0,0
430,Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,27,1428,15.9,1.6,1.7,37,35,58,15,70.9,17,10,0,0
431,Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,38,3420,38,0,0,0,0,0,0,72.7,0,0,65.7,0
432,NÃ©lson Semedo\Nelson-Semedo,DF,Wolves,34,2983,33.1,1.9,1.1,85,54,129,89,81.4,20,11,0,0
433,Femi Seriki\Femi-Seriki,DF,Sheffield Utd,1,1,0,0,0,0,0,0,0,,0,0,0,0
434,Jamie Shackleton\Jamie-Shackleton,MFDF,Leeds United,13,461,5.1,0,0.3,8,7,14,5,88.3,2,0,0,0
435,Xherdan Shaqiri\Xherdan-Shaqiri,MFFW,Liverpool,14,556,6.2,0.4,3,6,8,10,1,83.6,19,0,0,0
436,Billy Sharp\Billy-Sharp,FW,Sheffield Utd,16,735,8.2,2.7,0.6,7,2,10,1,69.9,4,3,0,0
437,Luke Shaw\Luke-Shaw,DF,Manchester Utd,32,2654,29.5,0.7,5.2,61,62,90,54,81.6,71,6,0,0
438,Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,30,2617,29.1,2.5,2.7,48,35,91,67,73.8,38,9,0,0
439,Shola Shoretire\Shola-Shoretire,FW,Manchester Utd,2,11,0.1,0,0,0,0,0,0,75,0,0,0,0
440,Gylfi SigurÃ°sson\Gylfi-Sigurdsson,MF,Everton,36,2253,25,6.8,4.8,35,48,66,21,79.1,45,12,0,0
441,Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,26,2065,22.9,2.8,3.7,32,20,53,9,89.7,32,13,0,0
442,FÃ¡bio Silva\Fabio-Silva,FW,Wolves,32,1369,15.2,6,0.5,10,12,15,6,74.4,11,16,0,0
443,Thiago Silva\Thiago-Silva,DF,Chelsea,23,1935,21.5,1.1,0.3,23,26,51,114,93.5,5,4,0,0
444,Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,25,1585,17.6,0.4,0.5,25,27,41,32,84.1,5,1,0,0
445,Islam Slimani\Islam-Slimani,FW,Leicester City,1,20,0.2,0,0,0,0,0,0,72.7,1,0,0,0
446,William Smallbone\William-Smallbone,MF,Southampton,3,172,1.9,0.1,0,6,5,7,2,82.1,0,1,0,0
447,Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,20,1440,16,2,3,14,17,28,15,87.7,24,4,0,0
448,Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,3,5,0.1,0,0,1,0,1,0,100,0,0,0,0
449,Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,8,526,5.8,0.2,0.3,20,13,24,12,78.9,3,1,0,0
450,CÃ©dric Soares\Cedric-Soares,DF,Arsenal,10,746,8.3,0.2,0.9,16,14,24,21,75.8,6,2,0,0
451,TomÃ¡Å¡ SouÄek\Tomas-Soucek,MF,West Ham,38,3419,38,9.2,1.5,83,56,138,145,76.9,16,23,0,0
452,Ã‡aÄŸlar SÃ¶yÃ¼ncÃ¼\Caglar-Soyuncu,DF,Leicester City,23,1819,20.2,0.5,0.2,31,22,58,109,89,4,3,0,0
453,Zack Steffen\Zack-Steffen,GK,Manchester City,1,90,1,0,0,0,0,0,0,82.1,0,0,50,0
454,Dale Stephens\Dale-Stephens,MF,Burnley,7,261,2.9,0.2,0,10,3,13,0,83.1,0,0,0,0
455,Jack Stephens\Jack-Stephens,DF,Southampton,18,1537,17.1,0.7,0.5,37,41,62,84,83.2,8,2,0,0
456,Raheem Sterling\Raheem-Sterling,FW,Manchester City,31,2536,28.2,12.2,4.8,20,17,34,2,85.4,38,28,0,0
457,Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,2700,30,1.1,1.6,53,60,100,95,77.5,18,4,0,0
458,John Stones\John-Stones,DF,Manchester City,22,1933,21.5,2.2,0.1,20,31,40,77,94.3,2,5,0,0
459,Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,27,2075,23.1,2.4,0.2,56,52,97,102,87.1,5,4,0,0
460,Japhet Tanganga\Japhet-Tanganga,DF,Tottenham,6,487,5.4,0.2,0,4,9,6,19,84.3,0,0,0,0
